Final Loss: 1.4459
Best Loss: 1.4459
Training History:
Epoch 1: Loss=7.8671, LR=0.000340
Epoch 2: Loss=4.1011, LR=0.000670
Epoch 3: Loss=3.6595, LR=0.001000
Epoch 4: Loss=3.5596, LR=0.000999
Epoch 5: Loss=3.4671, LR=0.000996
Epoch 6: Loss=3.2670, LR=0.000990
Epoch 7: Loss=3.0150, LR=0.000982
Epoch 8: Loss=2.8857, LR=0.000972
Epoch 9: Loss=2.8127, LR=0.000960
Epoch 10: Loss=2.7600, LR=0.000946
Epoch 11: Loss=2.6877, LR=0.000930
Epoch 12: Loss=2.5755, LR=0.000912
Epoch 13: Loss=2.4039, LR=0.000893
Epoch 14: Loss=2.2534, LR=0.000871
Epoch 15: Loss=2.1512, LR=0.000848
Epoch 16: Loss=2.0805, LR=0.000823
Epoch 17: Loss=2.0221, LR=0.000797
Epoch 18: Loss=1.9587, LR=0.000769
Epoch 19: Loss=1.8770, LR=0.000741
Epoch 20: Loss=1.7682, LR=0.000711
Epoch 21: Loss=1.7019, LR=0.000680
Epoch 22: Loss=1.6589, LR=0.000648
Epoch 23: Loss=1.6254, LR=0.000616
Epoch 24: Loss=1.5990, LR=0.000584
Epoch 25: Loss=1.5779, LR=0.000550
Epoch 26: Loss=1.5594, LR=0.000517
Epoch 27: Loss=1.5442, LR=0.000484
Epoch 28: Loss=1.5309, LR=0.000451
Epoch 29: Loss=1.5191, LR=0.000417
Epoch 30: Loss=1.5089, LR=0.000385
Epoch 31: Loss=1.5006, LR=0.000353
Epoch 32: Loss=1.4928, LR=0.000321
Epoch 33: Loss=1.4854, LR=0.000290
Epoch 34: Loss=1.4797, LR=0.000260
Epoch 35: Loss=1.4748, LR=0.000232
Epoch 36: Loss=1.4697, LR=0.000204
Epoch 37: Loss=1.4656, LR=0.000178
Epoch 38: Loss=1.4620, LR=0.000153
Epoch 39: Loss=1.4588, LR=0.000130
Epoch 40: Loss=1.4561, LR=0.000108
Epoch 41: Loss=1.4539, LR=0.000089
Epoch 42: Loss=1.4524, LR=0.000071
Epoch 43: Loss=1.4507, LR=0.000055
Epoch 44: Loss=1.4490, LR=0.000041
Epoch 45: Loss=1.4480, LR=0.000029
Epoch 46: Loss=1.4472, LR=0.000019
Epoch 47: Loss=1.4466, LR=0.000011
Epoch 48: Loss=1.4463, LR=0.000005
Epoch 49: Loss=1.4460, LR=0.000002
Epoch 50: Loss=1.4459, LR=0.000001
